metric,target_id,native_live,native_Q,rotated_live,rotated_Q,query,T_A,B_R_live_minus_Q,native_Q_minus_live
ca_lddt,3gxb_A,0.6641245972073039,0.6386322950232725,0.6238900823487289,0.6563641245972073,0.286358754027927,-0.057966344432509836,-0.03247404224847834,-0.025492302184031496
ca_lddt,6a89_A,0.4422811059907834,0.500921658986175,0.5432507680491551,0.5530049923195084,0.261463133640553,0.04888632872503842,-0.009754224270353292,0.058640552995391705
ca_lddt,4xbc_A,0.284336154960726,0.2799702585220773,0.2851464195836193,0.2874818882025471,0.24696865705788149,-0.006701365057576458,-0.0023354686189277865,-0.004365896438648671
ca_lddt,6q3v_A,0.48407461713913325,0.5210573476702509,0.42546432062561096,0.4597181492342783,0.3057184750733138,0.0027289019224502977,-0.03425382860866732,0.036982730531117614
ca_lddt,7nuw_A,0.5832852193995381,0.5136403002309469,0.5834055042340262,0.5601905311778291,0.3601327944572748,-0.04642994611239415,0.023214973056197092,-0.06964491916859124
ca_lddt,2obi_A,0.6325785097279405,0.5782877209978202,0.5775712440461774,0.5261766367966416,0.29105110196173406,-0.002896181480584468,0.05139460724953581,-0.054290788730120276
ca_lddt,3qzq_A,0.4609864672364672,0.43641381766381765,0.4244925213675213,0.4262019230769231,0.2606303418803419,-0.0262820512820513,-0.0017094017094017218,-0.02457264957264958
ca_lddt,4woh_A,0.5908570493948315,0.5927379784102061,0.5612119725220804,0.6179771835132483,0.33709519136408245,-0.05488428197579326,-0.056765210991167804,0.0018809290153745477
ca_lddt,6ndw_A,0.35360198288958183,0.3536819381146558,0.36072799232429836,0.3810166306868154,0.3409690573278964,-0.020208683137443024,-0.020288638362516986,7.99552250739614e-05
ca_lddt,3hny_A,0.40402742073693226,0.2672879177377892,0.37678877463581834,0.45109254498714657,0.22654241645244216,-0.21104327335047124,-0.0743037703513282,-0.1367395029991431
ca_lddt,1wba_A,0.2711940177192555,0.2622327887507112,0.2886389498496302,0.2821567910265789,0.25493782004389176,-0.002479070145492974,0.0064821588230512955,-0.008961228968544269
ca_lddt,1yn9_A,0.8068036200544609,0.8090461316674675,0.7096147685407656,0.7641358321319878,0.30910619894281594,-0.0522785519782156,-0.054521063591222156,0.0022425116130065557
ca_lddt,1a44_A,0.33760412254694344,0.295425667090216,0.3018936185232246,0.2642506706197939,0.24211139347734012,-0.004535507553296611,0.03764294790343075,-0.04217845545672736
ca_lddt,4xje_A,0.641723912332352,0.6567100098135428,0.5934535492312725,0.626380029440628,0.3396712463199215,-0.017940382728164856,-0.03292648020935559,0.01498609748119073
ca_lddt,1ccz_A,0.7122814245170742,0.635631236839696,0.6719193445024261,0.6739677744209467,0.21560010985992858,-0.07869861759589857,-0.0020484299185205557,-0.07665018767737801
ca_lddt,2p3k_A,0.2964966832504146,0.3082918739635158,0.2979063018242123,0.3063329187396352,0.29850746268656714,0.0033685737976782704,-0.008426616915422893,0.011795190713101164
ca_lddt,6ibj_A,0.23454638408626138,0.24342349879159694,0.25187070087376834,0.2508598252463283,0.23047964305633017,0.009887990332775617,0.0010108756274400388,0.008877114705335578
ca_lddt,1j84_A,0.40444780853517875,0.3927876297577855,0.4176218281430219,0.40734933679354096,0.27378892733564014,-0.0013876874279123246,0.010272491349480975,-0.011660178777393301
ca_lddt,3esx_A,0.6761970640227499,0.6606333102759203,0.6671086004150334,0.6609407424486973,0.5843901314272538,-0.009395895780493399,0.0061678579663361766,-0.015563753746829575
ca_lddt,4p27_A,0.3686889250814332,0.37273796597900827,0.35875859572927976,0.3301099348534202,0.2704940282301846,0.03269770177343465,0.02864866087585956,0.004049040897575092
ca_lddt,6fpc_A,0.5634656570292184,0.5292756616184794,0.4759159400336545,0.43007113354749893,0.3194125745754933,0.011654811075416846,0.04584480648615571,-0.03418999541073886
ca_lddt,7c82_A,0.7616627573625228,0.7668751628876728,0.7335917817739553,0.7449830596820433,0.4573234297628356,-0.006178872382937998,-0.011391277908087897,0.005212405525149899
ca_lddt,1bk7_A,0.25571877512241464,0.26178469633852225,0.2554721186874223,0.2591902360593437,0.26567638675729005,0.0023478038441862212,-0.0037181173719213665,0.006065921216107588
ca_lddt,6ht1_A,0.304807798825745,0.3223385399357483,0.3283621358147779,0.3442450426498283,0.35277500830840813,0.0016478342749529362,-0.015882906835050403,0.01753074111000334
ca_lddt,5d6p_A,0.5655710491367861,0.5820237568245537,0.5946307363140032,0.5978954552161724,0.4169986719787517,0.013187988785598312,-0.0032647189021690983,0.01645270768776741
ca_lddt,1lxz_A,0.2718557133441189,0.284978129306729,0.2643357900413446,0.25286116603750974,0.2056444364551501,0.024597039966444963,0.01147462400383486,0.013122415962610101
ca_lddt,5kdi_A,0.4396882494004796,0.4410928400137033,0.43806954436450846,0.43309352517985616,0.44162384378211716,0.006380609797876006,0.004976019184652292,0.0014045906132237145
ca_lddt,7np5_A,0.38236985907391424,0.37369859073914297,0.3596922634454989,0.3695355191256831,0.32635893011216566,-0.01851452401495544,-0.009843255680184071,-0.008671268334771368
